,SUCEPTIBLE HOST,INFECTED HOST,RECOVERED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
3141,160.2177959039904,870.2720044603526,69.51019963565935,-274.355414768821,45591.31946853293,-290.4615673202594,-111.50556924629345,-86.67694135008698,42182.640492998864,258.9346451797718,8054.631855927153,418.4836497662166,102.39507655622458,81.40296402088663,7667.090265739623
3142,160.10180469845056,870.3774275834622,69.52076771808952,-274.05166610466006,45610.79185552751,-290.7903019909454,-111.33771979634747,-86.54583889014819,42193.43106730514,258.55447271278933,8061.644748337028,417.9223105156443,102.24369820800571,81.28330466674974,7673.341508576497
3143,159.98592825499884,870.482737032419,69.53133471258445,-273.7475886493726,45630.24169877993,-291.11537442710915,-111.1701007064011,-86.41494036850509,42204.17618404362,258.17481253925604,8068.6586240100405,417.36146252379166,102.09254001424422,81.16381884614482,7679.59140259141
3144,159.87016674812406,870.58793264291,69.54190060896828,-273.4431875297389,45649.66904063022,-291.43679901668116,-111.00271196356962,-86.28424546377586,42214.87583192814,257.79566424742416,8075.673473588374,416.80110650850395,101.94160167184144,81.0445063122735,7685.839932428697
3145,159.7545203510603,870.6930142518821,69.5524653970599,-273.1384678443539,45669.07392372939,-291.7545901294113,-110.83555355168966,-86.15375385480732,42225.52999983601,257.41702742423456,8082.689287730801,416.2412431823582,101.79088287799229,80.92536681868302,7692.087082735704
3146,159.63898923578722,870.7979816975418,69.56302906667325,-272.8334346637054,45688.45639103895,-292.06876211666753,-110.66862545134771,-86.0234652206794,42236.13867680715,257.0389016553265,8089.706057112813,415.68187325267087,101.64038333018593,80.8064001192657,7698.332838162873
3147,159.52357357303103,870.902834819354,69.57359160761729,-272.5280930302541,45707.816485830386,-292.37932931123584,-110.50192763990913,-85.89337924071012,42246.70185204315,256.66128652504847,8096.723772426724,415.12299742150844,101.49010272620684,80.68760596825875,7704.577183363807
3148,159.40827353226467,871.0075734580414,69.58415300969618,-272.2224479585119,45727.154251684704,-292.68630602712375,-110.33546009154605,-85.7634955944598,42257.219514906436,256.2841816164663,8103.742424381811,414.5646163856943,101.3400407641351,80.56898412024353,7710.820102995381
3149,159.2930892817088,871.112197455584,69.59471326270949,-271.91650443512225,45746.46973249188,-292.98970655936427,-110.16922277726583,-85.6338139617359,42267.69165491933,255.9075865113745,8110.7620037044235,414.00673083681926,101.19019714234742,80.45053433014535,7717.061581717795
3150,159.1780209883322,871.2167066552179,69.60527235645225,-271.61026741893994,45765.76297245041,-293.28954518382295,-110.00321566493892,-85.50433402259745,42278.118261763135,255.5315007903053,8117.7825011381,413.44934146125007,101.0405715595178,80.33225635323305,7723.301604194671
3151,159.06306881785275,871.3211009014345,69.61583028071504,-271.30374184111093,45785.03401606675,-293.58583615700655,-109.83743871932658,-85.37505545735942,42288.4993252773,255.15592403253856,8124.803907443698,412.89244894013876,100.89116371461822,80.21414994511849,7729.54015509313
3152,158.94823293473806,871.4253800399799,69.62638702528427,-270.9969326051535,45804.282908154826,-293.87859371587365,-109.67189190210867,-85.24597794659742,42298.83483545843,254.78085581611205,8131.826213399499,412.33605394943254,100.74197330691953,80.09621486175637,7735.777219083861
3153,158.83351350219627,871.529543917864,69.63694257994219,-270.689844587094,45823.50969383605,-294.1678320767299,-109.50657517202546,-85.11710117114016,42309.12478245972,254.40629571784666,8138.849409801417,411.78015715986663,100.59300003599274,79.97845085944138,7742.012780841291
3154,158.71891068207407,871.6335923834607,69.64749693446755,-270.3824826361333,45842.71441854359,-294.4535654255077,-109.34148848609922,-84.98842481195517,42319.36915659273,254.03224331352916,8145.873487463899,411.22475923681725,100.44424360171898,79.86085769478595,7748.246825044416
3155,158.60442463503645,871.737525286331,69.658050078635,-270.0748515737101,45861.89712801347,-294.73580793417136,-109.17663179758361,-84.8599485503598,42329.56794832175,253.65869817762174,8152.898437218675,410.6698608405847,100.29570370427432,79.74343512475816,7754.479336375559
3156,158.49005552053072,871.8413424772565,69.66860200221522,-269.766956193791,45881.057868285774,-295.01457375712374,-109.01200505641751,-84.73167206798281,42339.72114826384,253.2856598833332,8159.924249915155,410.1154626263465,100.14738004413361,79.62618290667339,7760.710299520715
3157,158.37580349675596,871.9450438082711,69.67915269497536,-269.4588012631321,45900.1966857056,-295.28987702810736,-108.84760820961756,-84.6035950467324,42349.82874718878,252.91312800268184,8166.950916420779,409.5615652441198,99.99927232207425,79.5091007981874,7766.939699169859
3158,158.26166872066375,872.0486291326596,69.68970214667904,-269.15039152135984,45919.31362692262,-295.5617318600186,-108.68344120130511,-84.47571716879975,42359.89073601816,252.54110210650407,8173.978427621156,409.0081693387692,99.85138023917638,79.3921885572955,7773.1675200170375
3159,158.14765134795906,872.1520983049568,69.70025034708658,-268.84173168105406,45938.40873889052,-295.83015234472333,-108.5195039727337,-84.3480381166633,42369.90710582446,252.1695817644649,8181.006774420169,408.4552755500176,99.70370349682385,79.27544594233241,7779.393746760439
3160,158.0337515331011,872.2554511809462,69.71079728595504,-268.5328264278305,45957.48206886648,-296.0951525528746,-108.35579646231601,-84.22055757309256,42379.87784783012,251.79856654506713,8188.0359477400925,407.90288451245544,99.55624179670478,79.1588727119718,7785.618364102471
3161,157.91996942930425,872.3586876176597,69.72134295303839,-268.22368042042325,45976.53366441073,-296.35674653373195,-108.19231860565068,-84.09327522115186,42389.802953406645,251.42805601566093,8195.06593852172,407.35099685555025,99.4089948408121,79.04246862522568,7791.841356749841
3162,157.80630518853906,872.4618074733756,69.73188733808766,-267.9142982907681,45995.56357338595,-296.6149483149826,-108.02907033554928,-83.96619074420441,42399.682414073686,251.05804974245396,8202.096737724461,406.7996132036575,99.2619623314445,78.92623344144435,7798.062709413623
3163,157.69275896153295,872.5648106076185,69.74243043085102,-267.60468464408507,46014.57184395684,-296.86977190256533,-107.86605158206221,-83.83930382591575,42409.51622149811,250.68854729051978,8209.128336326485,406.2487341760289,99.11514397120656,78.81016692031555,7804.282406809351
3164,157.57933089777146,872.667696881157,69.75297222107393,-267.2948440589619,46033.55852458956,-297.1212312804949,-107.70326227250546,-83.71261415025758,42419.3043674931,250.3195482238081,8216.160725324817,405.69836038682325,98.96853946300973,78.69426882186424,7810.500433657084
3165,157.46602114549904,872.7704661560041,69.7635126984993,-266.9847810874374,46052.52366405125,-297.3693404106893,-107.54070233148636,-83.58612140151146,42429.046844017226,249.9510521051539,8223.19389573547,405.1484924451161,98.82214851007272,78.57853890645214,7816.716774681484
3166,157.3528298517204,872.8731182954145,69.77405185286753,-266.67450025508543,46071.46731140947,-297.6141132327981,-107.37837168092997,-83.45982526427257,42438.74364317349,249.58305849628726,8230.227838593544,404.5991309549107,98.67597081592237,78.46297693477746,7822.931414611888
3167,157.23975716220107,872.9756531638845,69.78458967391673,-266.3640060610977,46090.38951603173,-297.855563664034,-107.21627024010422,-83.33372542345292,42448.394757208465,249.2155669578419,8237.262544953357,404.0502765151466,98.53000608439382,78.34758266787412,7829.144338182391
3168,157.126803221469,873.0780706271506,69.79512615138279,-266.0533029783683,46109.29032758497,-298.0937055990044,-107.05439792564582,-83.2078215642852,42458.00017851132,248.84857704936513,8244.298005888555,403.50192971971063,98.38425401963141,78.23235586711166,7835.3555301319175
3169,157.01396817281525,873.1803705521876,69.80566127499954,-265.7423954535775,46128.16979603502,-298.32855290954683,-106.89275465158543,-83.08211337232619,42467.55989961293,248.4820883293269,8251.334212492227,402.95409115744735,98.2387143260891,78.11729629419462,7841.564975204293
3170,156.90125215829542,873.2825528072082,69.81619503449883,-265.4312879072756,46147.02797164612,-298.56011944456435,-106.73134032937287,-82.95660053346015,42477.07391318491,248.11610035512888,8258.371155877026,402.4067614121685,98.093386708531,78.00240371116215,7847.772658148322
3171,156.78865531873075,873.384617261661,69.82672741961072,-265.11998473396784,46165.86490498035,-298.7884190298642,-106.57015486790226,-82.83128273390247,42486.54221203871,247.75061268311444,8265.408827175273,401.8599410626649,97.94827087203217,77.88767788038776,7853.978563717855
3172,156.67617779370914,873.4865637862297,69.83725842006353,-264.80849030219787,46184.680646897184,-299.013465467998,-106.40919817353641,-82.70615966020269,42495.9647891247,247.38562486857663,8272.447217539082,401.3136306827149,97.80336652197879,77.77311856457857,7860.182676671871
3173,156.5638197215866,873.5883922528318,69.84778802558404,-264.4968089546327,46203.4752485529,-299.2352725381036,-106.2484701501317,-82.58123099924812,42505.341637531215,247.02113646576817,8279.486318140469,400.76783084109593,97.65867336406889,77.65872552677516,7866.384981774548
