,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
292,1002.4653396403016,70.41592431638074,6573.033917770802,7462.356506723847,8451.324847637943,9544.30283714457,0.0,0.0,2148.024429195128,2190.9097046290844,2148.203552741963,1977.606633471368,0.0,0.0
293,1002.4723840496508,70.33139140419023,6565.927725847326,7457.107536510439,8448.454420718617,9544.364653913668,0.0,0.0,2146.532904228483,2190.5459210062727,2148.894387703851,1979.0247750440267,0.0,0.0
294,1002.4794200023272,70.24695997207415,6558.841131236084,7451.873627144649,8445.595235999775,9544.434749835616,0.0,0.0,2145.0277813078574,2190.167628984892,2149.57217395015,1980.4336668209125,0.0,0.0
295,1002.4864475084827,70.16262989820771,6551.7740555877635,7446.654721025322,8442.747254527236,9544.513103065781,0.0,0.0,2143.5091929640444,2189.7749296406987,2150.2369761348004,1981.833339600157,0.0,0.0
296,1002.4934665782573,70.07840106091234,6544.726420953545,7441.45076082218,8439.91043750623,9544.599691831143,0.0,0.0,2141.9772707979496,2189.367923480039,2150.888858628259,1983.2238240801798,0.0,0.0
297,1002.5004772217787,69.99427333865557,6537.698149782805,7436.261689474433,8437.084746300716,9544.69449443004,0.0,0.0,2140.4321454865235,2188.9467104428977,2151.5278855187407,1984.605150860036,0.0,0.0
298,1002.5074794491625,69.91024661005082,6530.689164920838,7431.087450189393,8434.270142432657,9544.797489231907,0.0,0.0,2138.873946788641,2188.5113899059234,2152.154120613452,1985.9773504397608,0.0,0.0
299,1002.5144732705119,69.82632075385723,6523.699389606612,7425.927986441097,8431.466587581344,9544.908654677034,0.0,0.0,2137.302803550931,2188.0620606854286,2152.767627439819,1987.340453220714,0.0,0.0
300,1002.5214586959183,69.74249564897946,6516.728747470527,7420.783241968953,8428.674043582692,9545.027969276298,0.0,0.0,2135.7188437135474,2187.598821040372,2153.368469246704,1988.6944895059198,0.0,0.0
301,1002.528435735461,69.6587711744676,6509.777162532205,7415.653160776379,8425.892472428563,9545.155411610927,0.0,0.0,2134.1221943158916,2187.1217686753143,2153.956709005619,1990.0394895004097,0.0,0.0
302,1002.535404399207,69.5751472095169,6502.844559198297,7410.537687129469,8423.121836266071,9545.29096033224,0.0,0.0,2132.5129815022833,2186.6310007433553,2154.532409411928,1991.3754833115588,0.0,0.0
303,1002.542364697211,69.49162363346764,6495.930862260312,7405.436765555656,8420.362097396917,9545.434594161406,0.0,0.0,2130.8913305275764,2186.126613849048,2155.0956328860457,1992.7025009494237,0.0,0.0
