,SUCEPTIBLE HOST,INFECTED HOST,RECOVERED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
248,943.8807548162789,153.28216778180058,2.8370774019205927,6550.587010262469,7017.967499586402,6257.217096742465,5584.499978477407,5565.692592350157,6726.829176466304,848.062220039382,851.1333165668626,845.8416339086242,840.9873518374752,840.896398441928,848.9389539640003
249,943.7168067906866,153.43390444867626,2.849288760637177,6544.40738659921,7013.562460598962,6250.4336603882875,5575.9096999108,5556.973728625559,6721.788024484572,847.5311554009977,850.6275911917724,845.2950017896226,840.4047481284891,840.3127374496346,848.4177681348532
250,943.5532760115887,153.58522214936158,2.861501839049878,6538.258105713826,7009.188800043964,6243.682819664324,5567.354677297855,5548.289760397731,6716.77998742866,847.000693082316,850.1225776104777,844.7489343189959,839.8225969763541,839.7295211290509,847.8972544461095
251,943.3901615990064,153.73612180756388,2.873716593429741,6532.1389778172415,7004.846342200163,6236.964372656144,5558.834683314207,5539.640460416453,6711.8048760455495,846.4708324388777,849.6182752583596,844.2034310080784,839.2408980728874,839.1467491461156,847.3774124550467
252,943.2274626746938,153.88660434511817,2.885932980188152,6526.049814628488,7000.534912787521,6230.278119081461,5550.349492489404,5531.025603280702,6706.862502648935,845.9415728262766,849.1146835711002,843.6584913679435,838.659651109025,838.5644211659118,846.8582417188038
253,943.0651783621323,154.03667068199132,2.898150955876493,6519.99042936059,6996.254338953811,6223.623860274807,5541.898881189389,5522.444965421192,6701.952681104546,845.4129136001626,848.6118019846848,843.114114909409,838.0788557748306,837.9825368526747,846.339741794386
254,942.9033077865282,154.1863217362861,2.910370477185805,6513.960636706716,6992.004449261471,6217.001399172507,5533.482627599313,5513.898325083238,6697.075226815742,844.8848541162434,848.1096299354047,842.5703011430408,837.4985117595014,837.4010958697988,845.8219122386698
255,942.7418500748083,154.33555842424528,2.922591500946448,6507.960252826612,6987.785073674709,6210.410540297938,5525.100511706694,5505.385462309965,6692.229956709401,844.3573937302875,847.6081668598597,842.0270495791574,836.9186187513769,836.8200978798459,845.304752608408
256,942.5808043556165,154.48438166025582,2.934813984127762,6501.98909533328,6983.596043546867,6203.851089747084,5516.752315284905,5496.90615892585,6687.416689222079,843.8305317981252,847.1074121949607,841.4843597278342,836.3391764379458,836.239542544551,844.7882624602341
257,942.4201697593096,154.6327923568528,2.9470378838377305,6496.046983279937,6979.437191608038,6197.322855174384,5508.437821877005,5488.460198520597,6682.635244286456,843.3042676756522,846.6073653779318,840.9422310989077,835.7601845058531,835.6594295248309,844.2724413506675
258,942.2599454179539,154.78079142472356,2.959263157322642,6490.133737147241,6975.308351952935,6190.825645778868,5500.156816779906,5480.04736643336,6677.885443318059,842.7786007188307,846.1080258463131,840.4006632019791,835.1816426409075,835.0797584807907,843.7572888361176
259,942.1001304653215,154.92837977271176,2.9714897619667577,6484.249178830775,6971.209360029011,6184.359272290587,5491.909087028876,5471.667449737287,6673.16710920227,842.2535302836925,845.6093930379628,839.8596555464194,834.6035505280888,834.5005290717307,843.2428044728892
260,941.9407240368866,155.0755583078215,2.9837176552919735,6478.393131628806,6967.140052624842,6177.923546957337,5483.694421382381,5463.320237224413,6668.480066281616,841.7290557263402,845.1114663910599,839.3192076413727,834.0259078515545,833.9217409561536,842.7289878171866
261,941.7817252698217,155.22232793522093,2.9959467949574656,6472.565420190612,6963.1002678209825,6171.518283488043,5475.5126102565655,5455.0055193403505,6663.824140301231,841.205176402955,844.6142453441113,838.7793189957672,833.4487142946577,833.343393791782,842.2158384251258
262,941.623133302996,155.3686895582448,3.0081771387592164,6466.765870210439,6959.089844698796,6165.14329671658,5467.3634453348095,5446.723087795173,6659.199158084495,840.6818916698323,844.1177293359888,838.23998911837,832.8719695400323,832.7654872356422,841.7033558527953
